address,type_object,type_permit,number_permit,date_permit,latitude_1,longitude_1,latitude_2,longitude_2
"ул. Береговая, 55а","Многоэтажный жилой дом ""Панорама"" с подземно-надземной автостоянкой","На строительство",61-310-884801-2016,20.05.2016,47.2184565697053,39.7311638047147,"421333,9155","2205264,861"
"ул. Береговая, 61/1б","Многоэтажный жилой комплекс со встроенными офисными помещениями, встроенно-пристроенным фитнес центром и многоуровневой автостоянкой","На строительство",RU61310000-8576-1,03.04.2015,47.2190664265983,39.7342616176788,"421397,9548","2205500,587"
"ул. Береговая, 69/3","Газораспределительный пункт","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Камера переключения канализационной насосной","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Камера переключения пожаротушения","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Канализационная насосная","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Котельная №3","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Котельная водогрейных котлов ВК13, ВК14","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"ул. Береговая, 69/3","Насосная станция пожаротушения","На реконструкцию",61-310-890401-2016,17.08.2016,47.2200798711236,39.7403225584994,"421503,2921","2205961,457"
"левый берег реки Дон: ул.Шоссейная, склоны Ворошиловского моста, ул.Левобережная, южнее Ворошиловского моста, ул.Береговая, 37/1, Батайский въезд, съезды с Ворошиловского моста; правый берег реки Дон: просп.Ворошиловский, ул.Донская, ул.Нижнебульварная","Мостовой переход через р.Дон в створе Ворошиловского проспекта в г.Ростове-на-Дону. Линейный объект (На реконструкцию). Здания, строения и сооружения, входящие в инфраструктуру линейного объекта (строительство)","На строительство",RU61310000-8082-1,19.09.2013,47.2113673977601,39.7270797675235,"420550,7628","2204942,833"
"Левобережная ул., 5е","Здание для хранения спортивного инвентаря - I I этап строительства","На строительство",RU61310000-8383-1,09.09.2014,47.2121996030505,39.7320019071957,"420637,2913","2205317,189"
"Левобережная ул., 28е",Гостиница,"На реконструкцию",61-310-835802-2016,09.09.2016,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е",ГРПШ,"На реконструкцию",61-310-835802-2016,09.09.2016,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е",Котельная,"На реконструкцию",61-310-835802-2016,09.09.2016,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е",Гостиница,"На строительство",RU61310000-8358-1,27.06.2014,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е",ГРПШ,"На строительство",RU61310000-8358-1,27.06.2014,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е",Котельная,"На строительство",RU61310000-8358-1,27.06.2014,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"Левобережная ул., 28е","Подземный резервуар","На строительство",RU61310000-8358-1,27.06.2014,47.1956119386578,39.7705199507979,"418747,1276","2208206,393"
"левый берег реки Дон, ул. Береговая","переключающий пункт 2","На реконструкцию",61-310-861901-2015,29.05.2015,47.2075886403422,39.7495471072326,"420103,5157","2206638,187"
"ул. Левобережная","Переходной пункт 110 кВ","На строительство",61-310-896001-2016,22.11.2016,47.2075886403422,39.7495471072326,"420103,5157","2206638,187"
"ул. Береговая, 9","Нежилое помещение","На реконструкцию",61-310-869601-2015,10.09.2015,47.2131896574414,39.7031708331327,"420782,7805","2203134,955"
"ул. Береговая, 6","Многоэтажный жилой дом со встроенными помещениями общественного назначения и двухуровневой  автостоянкой","На строительство",61-310-880601-2016,30.03.2016,47.2121038462422,39.7042125630627,"420660,7738","2203211,889"
"ул.Малюгиной, 113","Торгово-гостиничный комплекс","На строительство",RU61310000-6751-1,15.08.2008,47.2284397624201,39.6937591703371,"422489,9183","2202450,026"
"11-я улица ул., 66а","индивидуальный одноквартирный трехэтажный жилой дом","На строительство",RU61540000-02,20.02.2015,47.2319967981526,39.6901211270102,"422889,9253","2202181,073"
"Малюгиной ул., 88","Квартира №12","На реконструкцию",RU61310000-7885-1,03.09.2012,47.2279114097113,39.6933693378564,"422431,6677","2202419,533"
"3-я Ноябрьская ул., 2/2г","индивидуальный одноквартирный двухэтажный жилой дом","На строительство","RU 61540000-36",08.12.2015,47.2455502032572,39.663059595713,"424431,0242","2200157,349"
"СТ Рыбник, уч.180","индивидуальный одноквартирный жилой дос с количеством этажей-два","На строительство",RU61310002-1,16.01.2014,47.1754164203465,39.5488158762314,"416786,819","2191365,195"
"6-я Конструктивная ул., 7","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-3,15.02.2016,47.1857598892637,39.558330022194,"417923,5157","2192107,4"
"1-й Донстроевский пер., 21/1","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство",RU61310000-27,29.08.2016,47.1835037615782,39.5579897279736,"417673,1685","2192077,03"
"ул. 3-я Конструктивная, 18","индивидуальный одноквартирный   жилой дом","На строительство",RU61310002-21,17.05.2014,47.1845554828335,39.5562855093913,"417792,4498","2191949,999"
"ул. Кумженская, 47б","одноквартирный жилой дом этажностью - один","На строительство",RU61310002-47,11.11.2014,47.1705272837938,39.551680667043,"416239,3002","2191572,395"
,"Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-11,10.03.2017,47.168516839861,39.5507497427087,"416017,0903","2191497,72"
"ул. Кумженская, 62а","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство",RU61310000-5,02.02.2017,47.1686935003299,39.5495512620005,"416038,3973","2191407,218"
"ул. Кумженская, 62а","Индивидуальный, одноквартирный, трехэтажный жилой дом 62","На строительство",RU61310000-6,02.02.2017,47.1685668151047,39.5497082377693,"416024,0951","2191418,861"
"ул. Кумженская, 62а","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство",RU61310000-4,02.02.2017,47.1684039609024,39.5499044100394,"416005,7173","2191433,401"
"ул. Сормовская, 43","двухэтажный одноквартирный жилой дом","На строительство",RU61310002-1,20.01.2015,47.2354952399156,39.6390300178861,"423344,2542","2198318,92"
"пр-кт. Стачки, 128","Офисное здание","На строительство",RU61310000-8474-1,05.06.2015,47.2122321649181,39.6536941401786,"420739,0011","2199385,21"
"ул. Красная, 70","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство",RU61310000-1,23.01.2017,47.2130189124009,39.6497962610847,"420831,504","2199091,43"
"Крупской ул.43","Газовая котельная","На строительство",RU61310000-7506-1/1,21.02.2011,47.2133610423483,39.656057826987,"420861,4535","2199566,4"
"ул. Крупской, 11","одноквартирный жилой дом с количеством этажей - три","На строительство",RU61310002-40,06.10.2014,47.2135436620838,39.6602844906326,"420876,3192","2199886,919"
"ул. 3-я Баррикадная, 67","трехэтажный ,одноквартирный жилой  дом","На строительство",RU61310002-39,15.09.2014,47.2147253710257,39.6534211282103,"421016,53","2199369,252"
"ул. 3-я Баррикадная, 49а","индивидуальный одноквартирный трехэтажный жилой дом","На строительство",RU61310002-24,26.06.2014,47.214730621655,39.6556522600916,"421014,236","2199538,269"
"пер. Киевский, 8","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-91,30.12.2015,47.2182754412376,39.6523689167328,"421412,56","2199296,279"
"ул. Калинина, 51","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-80",05.11.2015,47.218608763216,39.6522805854886,"421449,7305","2199290,221"
"ул. 4-я Кольцевая, 34","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство","RU 61310000-14",06.06.2016,47.2173593519949,39.6552753796032,"421306,965","2199514,694"
"ул. 3-я Баррикадная, 42/59","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-48",12.12.2016,47.2152556227458,39.6550778529379,"421073,3422","2199495,751"
"ул. 4-я Кольцевая, 59а","Индивидуальный, одноквартирный , двухэтажный жилой дом","На строительство","RU 61310000-20",05.04.2017,47.2153905400862,39.655079513727,"421088,3392","2199496,132"
"ул. Авиационная, 15","Одноквартирный жилой дом","На строительство","RU 61310002-36",29.08.2014,47.2200525160752,39.653064052776,"421609,2246","2199352,3"
"ул. Авиационная, 4","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-46",24.11.2016,47.2202244247572,39.6544656750315,"421626,5274","2199458,786"
"ул. Мадояна, 69","Магазин промышленных товаров со встроенными помещениями административного назначения","На строительство",61-310-891201-2016,06.09.2016,47.2208656151058,39.6555958259536,"421696,3532","2199545,598"
"ул. Мадояна, 69","Магазин промышленных товаров со встроенными помещениями административного назначения","На строительство",61-310-891201-2016,06.09.2016,47.2208656151058,39.6555958259536,"421696,3532","2199545,598"
"ул. 5-я Кольцевая, 34","Индивидуальный, одноквартирный , двухэтажный жилой дом","На строительство","RU 61310000-18",24.03.2017,47.2188806271683,39.6550828719505,"421476,3377","2199502,991"
